well,best_r,rms
15007239750000,0.998,0.05
15007243510000,0.829,0.04
15053213450000,0.873,0.05
15055221610000,0.823,0.08
15055222540000,0.728,0.01
15065242280000,0.814,0.09
15001292530000,0.873,0.04
15195228790000,0.685,0.89
15191227730000,0.541,5.26
15011235450000,0.562,0.06
15099244560000,0.531,0.83
15065241480000,0.519,1.74
15099246100000,0.415,1.25
15095220110000,0.451,0.58
15163241420000,0.0,1.5
15133265310000,0.31,2.3
15205278710000,0.215,0.94
15003254880000,0.244,1.16
15019271380000,0.276,2.96
15159227170100,0.0,1.15
